"Main_Header","Sub_Header","Step_Number","English_Instruction","German_Instruction"
"Werkstattanweisung","How to check a spark plug","7","Check the gap is between 0,65 and 1,00 mm wide.","Kontrollieren Sie, ob der Spalt (Elektrodenabstand) zwischen 0,65 und 1,00 mm liegt."
"Werkstattanweisung","How to check a spark plug","8","Place the plug in the socket.","Stecken Sie die Kerze in die Stecknuss."
"Werkstattanweisung","How to check a spark plug","9","Twist the plug clockwise until it is hand-tight.","Drehen Sie die Kerze im Uhrzeigersinn herein, bis sie handfest ist."
"Werkstattanweisung","How to check a spark plug","10","Place the spark plug wrench over the spark plug and tighten it with a quarter of a turn clockwise.","Stecken Sie den Zündkerzenschlüssel über die Zündkerze und ziehen Sie die Kerze mit einer Viertel-Drehung im Uhrzeigersinn an."
"Werkstattanweisung","How to check a spark plug","11","CAUTION: Do not overtighten the plug.","ACHTUNG: Die Kerze nicht überdrehen."
"Werkstattanweisung","How to check a spark plug","12","Replace the spark plug connector.","Den Kerzenstecker wieder aufstecken."
"Werkstattanweisung","CLUTCH INSTALLATION","","Clean your hands before installing a clutch disc. Hold the disc at its edges like you would hold a photo. Clutch discs often get grease marks from careless handling.","Reinigen Sie ihre Hände, bevor Sie eine Kupplungsscheibe einbauen. Halten Sie die Scheibe so an den Kanten, wie Sie auch ein Foto halten. Kupplungsscheiben haben häufig Fettspuren durch achtlose Handhabung."
"Werkstattanweisung","CLUTCH INSTALLATION","","A thin film of grease or anti-adhesive agents is applied to the input shaft splines. If too much grease is applied, it can be pressed out and drop onto the friction lining. Even the smallest amount of grease on the friction lining causes a rattling of the clutch.","Es wird ein dünner Fettfilm bzw. Antihaftmittel auf die Verzahnung der Eingangswelle aufgetragen. Wird zu viel Fett aufgetragen, so kann es herausdrücken und auf die Reibbeläge tropfen. Selbst die geringste Menge Fett auf den Reibbelägen verursacht ein Klappern der Kupplung."
"Werkstattanweisung","CLUTCH INSTALLATION","","Install the disc in the right direction. There should be a mark on the disc that says „flywheel side". If in doubt, check the repair manual.","Beachten Sie die richtige Einbaurichtung. Auf der Scheibe sollte eine Markierung / Aufschrift „Schwungscheibenseite" sein. Im Zweifel lesen Sie bitte im Reparaturleitfaden nach."
"Werkstattanweisung","CLUTCH INSTALLATION","","Attach the disc and the clutch cover to the flywheel.","Befestigen Sie die Scheibe und den Kupplungsdeckel an der Schwungscheibe."
"Werkstattanweisung","CLUTCH INSTALLATION","","Align the flywheel and the clutch cover after the embossed marking, if the parts are being reused.","Richten Sie Schwungscheibe und Kupplungsdeckel nach den Kerbmarkierungen aus, wenn Sie die Teile wiederverwenden."
"Werkstattanweisung","CLUTCH INSTALLATION","","Use a special centring-pin for clutches or an old gearbox input shaft to centre the clutch disc.","Verwenden Sie einen speziellen Kupplungszentrierdorn, oder eine alte Getriebeeingangswelle, um die Kupplungsscheibe zu zentrieren."
"Werkstattanweisung","CLUTCH INSTALLATION","","There are different sizes of splines and pilot ends to match the different sizes of clutch pilots available. Universal centring tools are also available.","Es gibt verschiedene Größen von Verzahnungen und Führungen. Universelle Zentrierwerkzeuge werden ebenfalls angeboten."
"Werkstattanweisung","CLUTCH INSTALLATION","","Having the centring-pin in the disc, hand tighten all of the clutch cover screws.","Ziehen Sie, mit dem Zentrierdorn in der Scheibe, alle Deckelschrauben handfest an."
"Werkstattanweisung","CLUTCH INSTALLATION","","To avoid any twisting of the pressure plate, tighten the screws in a criss-cross pattern.","Um jegliches Verdrehen der Druckplatte zu vermeiden, ziehen Sie die Schrauben nach der Kreuz-und-Quer-Methode an."
"Werkstattanweisung","CLUTCH INSTALLATION","","Tighten each screw no more than a half turn at a time. After tightening all of the screws, tighten them all in a criss-cross pattern with the appropriate torque.","Drehen Sie jede Schraube bei jedem Mal nur eine halbe Umdrehung. Sind alle Schrauben fest, dann ziehen sie kreuzweise mit dem entsprechenden Drehmoment an."
"Praktische Beispiele","","","Hoist pad adapters are often needed for pickup trucks, vans and sports utility vehicles.","Unterlagen für Hebebühnen werden häufig für Pickups, Großraumfahrzeuge und Geländewagen benötigt."
"Praktische Beispiele","","","A tap (wrench) is used to cut threads on a rod.","Ein Gewindeschneider (Windeisen) wird verwendet, um ein Gewinde auf einer Stange zu schneiden."
"Praktische Beispiele","","","Metal saw: The teeth of the sawblade should point away from the handle.","Metallsäge: Die Zähne des Sägeblattes sollten vom Griff weg zeigen."
"Praktische Beispiele","","","Taps are commonly used to „chase" or clean existing threads.","Innengewindeschneider werden im Allgemeinen zum „Nachschneiden" und Reinigen von bestehenden Gewinden verwendet."
"Praktische Beispiele","","","Keep all hand tools clean to prevent rusting and to obtain a better, firmer grip.","Halten Sie alle Handwerkzeuge sauber, damit diese nicht rosten und man damit einen guten, festen Griff hat."
"Praktische Beispiele","","","Never expose tools to excessive heat.","Werkzeuge niemals größer Wärme aussetzen."
"Praktische Beispiele","","","Replace any tools that are damaged or worn.","Werkzeuge, die beschädigt oder schadhaft sind, sind zu ersetzen."
"Praktische Beispiele","","","Never strike a hammer on a wrench or ratchet handle.","Niemals mit einem Hammer auf den Griff von Schraubenschlüsseln oder „Ratschen" schlagen."
"Praktische Beispiele","","","Brake drum: Don't blow it.","Bremstrommel: Nicht ausblasen."
"Praktische Beispiele","","","Combustible – keep away from fire.","Brennbar – kein offenes Feuer. Von offenem Feuer fernhalten."
"Praktische Beispiele","","","Always connect an exhaust hose to the tailpipe when letting an engine run inside (a building).","Schließen Sie immer einen Abgasschlauch an das Auspuffrohr an, wenn Sie den Motor eines Fahrzeugs im Gebäude laufen lassen."
"Praktische Beispiele","","","Caution is advised.","Vorsicht ist geboten."
"Praktische Beispiele","","","Avoid skin contact with brake fluid.","Vermeiden Sie den Hautkontakt mit Bremsflüssigkeit."
"In der KFZ-Werkstatt","","","Always wear safety glasses.","Tragen Sie immer eine Schutzbrille."
"In der KFZ-Werkstatt","","","Lower the vehicle to the ground.","Das Fahrzeug auf den Boden herunterlassen."
"In der KFZ-Werkstatt","","","Lift the vehicle up.","Das Fahrzeug anheben (Hebebühne)."
"In der KFZ-Werkstatt","","","Loosen the screws.","Die Schrauben lösen."
"In der KFZ-Werkstatt","","","Turn the engine off.","Den Motor abstellen."
"In der KFZ-Werkstatt","","","Start the engine.","Den Motor anlassen."
"In der KFZ-Werkstatt","","","Release the air filter cover and remove the air filter element.","Lösen Sie den Luftfilterdeckel und nehmen Sie den Luftfiltereinsatz heraus."
"In der KFZ-Werkstatt","","","Renew any worn and defective parts.","Alle verschlissenen und defekten Teile erneuern."
"In der KFZ-Werkstatt","","","Run the engine to operating temperature. Repeat the procedure.","Den Motor auf Betriebstemperatur bringen. Den Vorgang wiederholen."
"In der KFZ-Werkstatt","","","Hand tighten the screws.","Die Schrauben handfest anziehen."
"In der KFZ-Werkstatt","","","Do not overfill the brake fluid reservoir.","Den Vorratsbehälter für die Bremsflüssigkeit nicht überfüllen."
"In der KFZ-Werkstatt","","","Observe the recommended tyre pressure on the label.","Beachten Sie den empfohlenen Reifenluftdruck auf dem Aufkleber."
"Werkstattanweisung","How to change a wheel","1","Apply the handbrake.","Ziehen Sie die Handbremse an."
"Werkstattanweisung","How to change a wheel","2","Remove the hubcap, if there is one. Remove the hubcap with a screwdriver.","Falls vorhanden: Nehmen Sie die Radkappen ab. Entfernen Sie die Radkappe mit dem Schraubendreher."
"Werkstattanweisung","How to change a wheel","3","Loosen the wheel bolts/wheel nuts, but do not unscrew them completely.","Lösen Sie die Radschrauben/Radmuttern, aber schrauben Sie sie nicht komplett heraus."
"Werkstattanweisung","How to change a wheel","4","Find the correct lifting point.","Finden Sie den korrekten Hebepunkt."
"Werkstattanweisung","How to change a wheel","5","Jack up the vehicle.","Heben Sie das Fahrzeug an."
"Werkstattanweisung","How to change a wheel","6","Now unscrew the wheel bolts/wheel nuts completely and remove the wheel from the vehicle.","Schrauben Sie die Radschrauben/Radmuttern heraus und nehmen Sie das Rad vom Fahrzeug."
"Werkstattanweisung","How to change a wheel","7","Put on the new wheel. Most spare wheels are hidden under the boot floor.","Setzen Sie das neue Rad auf. Häufig findet man das Reserverad unter der Abdeckung auf dem Boden des Kofferraums."
"Werkstattanweisung","How to change a wheel","8","Replace the wheel bolts/wheel nuts, but only hand-tighten them.","Setzen Sie die Radschrauben/Radmuttern an/auf, aber ziehen Sie sie nur handfest an."
"Werkstattanweisung","How to change a wheel","9","Lower the car and with the wheel on the ground tighten the wheel nuts using the wheel spider/torque wrench.","Lassen Sie das Auto herunter und schrauben Sie, mit den Schrauben auf dem Boden, die Radschrauben/Radmuttern mit dem Radkreuz/Drehmomentschlüssel fest."
"Werkstattanweisung","How to change a wheel","10","Remove the jack.","Entfernen Sie den Wagenheber."
"Werkstattanweisung","How to change a wheel","11","Replace the hubcap so that the air valve is accessible.","Montieren Sie die Radkappe wieder so, dass das Luftventil zugänglich ist."
"Werkstattanweisung","How to change a wheel","12","Finally, check the air pressure and inflate/deflate the tyre to the recommended pressure.","Kontrollieren Sie abschließend den Luftdruck und pumpen/lassen Sie den Reifen auf den empfohlenen Druck auf/ab."
"Werkstattanweisung","brake pad change","1","After carefully hoisting the vehicle, remove the wheels. Tap on the caliper where the vent valve sits to ease the loosening of the valve.","Entfernen Sie nach vorsichtigem Anheben des Fahrzeugs die Räder. Um das Lösen des Entlüftungsventils zu erleichtern, klopfen Sie an der Stelle des Ventils leicht auf den Bremssattel."
"Werkstattanweisung","brake pad change","2","Often a blow on the top of the vent valve is necessary to „break the taper" at the base of the vent valve.","Häufig ist auch ein leichter Schlag auf den Kopf des Ventils nötig, um den „Konus am Sitz des Ventils zu knacken."
"Werkstattanweisung","brake pad change","3","Before loosening the vent valve, try to tighten the valve. Again, this helps break the bleeder valve loose.","Versuchen Sie vor dem Lösen des Entlüftungsventils zuerst das Ventil etwas festzuziehen. Wiederholen Sie es: Das hilft, das Ventil zu lösen."
"Werkstattanweisung","brake pad change","4","The vent valve should now be loosened without breaking.","Das Entlüftungsventil sollte sich nun lösen lassen, ohne abzubrechen."
"Werkstattanweisung","brake pad change","5","With the vent valve open, press a chisel or screwdriver against the inside of the pad to force the brake piston back into the cylinder to provide room to remove the caliper.","Bei geöffnetem Ventil drücken Sie ein Stemeisen oder einen Schraubenzieher gegen die Belaginnenseite, um den Bremskolben im Bremszylinder zurückzudrängen, damit Freiraum entsteht, den Bremssattel zu entfernen."
"Werkstattanweisung","brake pad change","6","A C-clamp can also be used to press the brake piston. Make sure the vent valve is open to prevent the old brake fluid from being forced back into the ABS hydraulic unit and/or the brake master cylinder.","Ein Spannbügel kann ebenfalls zum Zurückdrücken des Kolbens verwendet werden. Stellen Sie sicher, dass das Entlüftungsventil offen ist, um zu verhindern, dass alte Bremsflüssigkeit in die ABS-Hydraulikeinheit und/oder den Hauptbremszylinder zurückgepresst wird."
"Werkstattanweisung","brake pad change","7","After the brake piston has been pushed back into its original position, the caliper guide pins (caliper retaining pins) can be removed.","Nachdem der Radbremskolben zurück in seine Ausgangsstellung gedrückt worden ist, können die Bremssattel-Führungsstifte entfernt werden."
"Werkstattanweisung","brake pad change","8","It may be necessary to use a screwdriver or similar lever tool to lift the caliper out of its mount.","Es kann notwendig sein, einen Schraubenzieher oder ähnliches Hebelwerkzeug zu verwenden, um den Bremssattel aus seiner Halterung zu nehmen."
"Werkstattanweisung","brake pad change","9","Turn the caliper assembly in front of the brake disc.","Drehen Sie nun den kompletten Bremssattel vor die Bremsscheibe."
"Werkstattanweisung","brake pad change","10","Attach the caliper to a wire. This support is necessary to prevent the flexible brake lines from damage that could occur if the caliper was hanging on the hoses.","Hängen Sie den Bremssattel an einen Draht auf. Diese Unterstützung/Maßnahme ist notwendig, um Schäden an den flexiblen Bremsleitungen zu verhindern, die auftreten könnten, wenn der Bremssattel an den Schläuchen hängen würde."
"Werkstattanweisung","brake pad change","11","Use a micrometer and measure the thickness of the pad. Work on the disc brake pad or replace it if necessary.","Verwenden Sie eine Bügel-Messschraube und messen Sie die Belagstärke. Bearbeiten Sie den Bremsscheibenbelag oder ersetzen Sie die Bremsscheibe, wenn nötig."
"Werkstattanweisung","brake pad change","12","Remove the disc brake pads.","Entfernen Sie die Scheibenbremsbeläge."
"Werkstattanweisung","brake pad change","13","If necessary, open the vent valve and use a C-clamp to push the brake piston all the way into the brake cylinder.","Wenn notwendig, öffnen Sie das Entlüftungsventil und verwenden Sie die C-Spannvorrichtung, um den Bremskolben ganz in den Radbremszylinder zu drücken."
"Werkstattanweisung","brake pad change","14","During reassembly, use silicon brake grease to lubricate all parts that contain both rubber and metal, such as the guide pin.","Verwenden Sie während des Wiederzusammenbaus Silikon-Bremsfett, um alle Teile zu schmieren, die sowohl Gummi als auch Metall enthalten, genau wie der Führungsstift (des Bremssattels)."
"Werkstattanweisung","brake pad change","15","Thoroughly clean the sliding surfaces/guide rails of the caliper.","Reinigen Sie die Gleitflächen/Führungsschienen des Bremssattels gründlich."
"Werkstattanweisung","brake pad change","16","Apply disc brake dampening paste on the back of the pads, especially if they are not equipped with noise-dampening intermediate plates.","Verwenden Sie eine Dämpfungspaste auf der Rückseite der Beläge, insbesondere, wenn sie nicht mit geräuschdämpfenden Zwischenplatten/Unterlegblechen ausgerüstet sind."
"Werkstattanweisung","brake pad change","17","Reinstall the pads. Be sure to use all the spring clips and noise-reduction boards and work conscientious.","Bauen Sie die Beläge wieder ein. Achten Sie darauf, dass Sie alle Federklammern und Geräuschdämmplatten wieder einbauen, und arbeiten Sie gewissenhaft."
"Werkstattanweisung","brake pad change","18","Install the caliper and screw in the guide pins to manufacturer's specifications. Be sure to press the brake pedal several times before test driving the vehicle.","Installieren Sie den Bremssattel und schrauben Sie die Führungsstifte nach Herstellervorschriften an. Achten Sie darauf, das Bremspedal mehrmals niederzudrücken, bevor Sie die Testfahrt durchführen."
"Werkstattanweisung","tail light bulb replacement","1","The driver noticed that the warning indicator on the dashboard indicated a constant defect of the tail light.","Der Fahrer stellte fest, dass die Warnanzeige im Armaturenfeld einen ständigen Fehler am Rücklicht anzeigte."
"Werkstattanweisung","tail light bulb replacement","2","A visual inspection of the vehicle reveals that one of the tail lights did not light. Remove the plastic cover: The tail light assembly is now accessible.","Die Sichtkontrolle am Fahrzeug ergibt, dass ein Rücklicht nicht leuchtet. Entfernen Sie die Plastikabdeckung: Die (Rück-) Lichteinheit ist nun zugänglich."
"Werkstattanweisung","tail light bulb replacement","3","The lamp socket is removed from its socket by gently twisting it counter-clockwise.","Die Lampenfassung wird durch sachtes Drehen gegen den Uhrzeigersinn aus der Halterung herausgenommen."
"Werkstattanweisung","tail light bulb replacement","4","The new replacement bulb is tested with an ohmmeter to be sure that it is working before installing it in the vehicle.","Die neue Ersatzlampe wird vor dem Einbau in das Fahrzeug mit einem Ohmmeter geprüft, um sicherzugehen, dass sie funktioniert."
"Werkstattanweisung","tail light bulb replacement","5","The replacement bulb is inserted into the tail light socket and the lights are turned on to check proper functioning before putting all the components back together.","Die Ersatzlampe wird wieder in die Fassung eingesetzt und das Licht wird eingeschaltet, um die einwandfreie Funktion zu prüfen, bevor man alle Komponenten wieder zusammenbaut."
"Werkstattanweisung","tail light bulb replacement","6","Finally check the dashboard warning light. It should be off after the bulb is replaced.","Überprüfen Sie am Ende die Kontrolllampe in der Armaturentafel. Sie sollte nach dem Einbau erloschen sein."
